jobid,title,primaryresponsibility,primaryperks,primaryrequirement,datecreated,dateupdated,dateactivated,activestatus,expirydate,company,minexp,maxexp,mincompensation,maxcompensation,numberofdays,additionalcompensation,professions,cities
224,Graphic Designer,"<p>We need an all-rounder. Creative geniuses who can work with the speed of light (or may be a more realistic pace) to create kick-ass illustrations, undertake Branding, UI/UX designing of Platforms.&nbsp;&nbsp; Probably&nbsp;&nbsp; a&nbsp;&nbsp; chance&nbsp;&nbsp; for&nbsp;&nbsp; you&nbsp;&nbsp; all&nbsp; &nbsp;to&nbsp;&nbsp; make&nbsp;&nbsp; your&nbsp;&nbsp; huge&nbsp;&nbsp; fan&nbsp;&nbsp; base.</p>
<p>Who said health-care needs to be boring? Candidates with prior gaming company experience will be given preference.</p>",,"<ul>
<li>Ideally 2 to 4 years of experience as a startup designer working on multiple skills like Branding, UI/UX and illustrations</li>
<li>Great eye for composition, color and typography</li>
<li>Knowledge of basic UX principles for web</li>
<li>Comfortable with high pressure and fast turnaround times</li>
<li>Self-motivated and extremely organized</li>
<li>Experience with Photoshop/Illustrator/Sketch</li>
<li>Bonus points if you have experience with animation &amp; motion designing</li>
</ul>
<p>&nbsp;</p>",11/3/2017 3:49,11/29/2017 8:48,11/3/2017 3:51,1,11/28/2017 8:48,MedTrail,24,48,NULL,1200000,-1,NULL,Graphic Design$$$Branding$$$Illustration$$$Web Design$$$UI Design,Delhi
225,Mean Stack Developer,"<p>We need an all-rounder Front-End Developer, who can manage the end-to-end development infrastructure for our systems. You will be working on the mean stack (NodeJS, MongoDB, Express, AngularJS) and manage the front-end the backend of our systems.</p>
<ul>
<li>Managing the interchange of data between the server and the client application</li>
<li>Pushing the boundaries of back-end development using the MEAN stack</li>
<li>Design and implement APIs in support of front-end services and help create a highly scalable, flexible, and secure backend</li>
<li>Work in an agile environment of engineers to architect, design, develop and build our server side infrastructure</li>
</ul>",,"<ul>
<li>Exceptional coding skills in JavaScript (both frontend and backend)</li>
<li>Advanced proficiency in MEAN Stack (NodeJS, MongoDB, Express, AngularJS)</li>
<li>Proficiency and hands-on experience with one or more of the following: Backbone / Knockout / Ember / React JS</li>
<li>Thorough knowledge of software development best practices, including coding standards, code reviews, source control management, build process, continuous integration and continuous delivery</li>
<li>Ability to learn new technologies quickly</li>
</ul>",11/3/2017 4:22,1/5/2018 11:36,11/3/2017 4:27,1,NULL,MedTrail,24,48,NULL,1400000,5,ESOPs and Equity,UI Development$$$Web Development,Delhi
226,Senior Frontend Developer,"<p>We are looking for an experienced front-end developer, who can build reusable code and libraries in conjunction with the Design team. On a day-to-day basis, the role will involve:</p>
<p>&nbsp;</p>
<ul>
<li>Develop new user-facing features Build reusable code and libraries for future use&nbsp;</li>
<li>Ensure the technical feasibility of UI/UX&nbsp;designs Optimize application for maximum security, speed and&nbsp;scalability.&nbsp;</li>
<li>Assure that all user input is validated&nbsp;before submitting to back-end Collaborate with other team members and&nbsp;stakeholders</li>
</ul>","<ul>
<li>Founders of Marlin DRM chose us as their partner to develop their mobile SDK</li>
<li>Largest Game publisher in India hired us to develop their social game mobile SDK</li>
<li>We work with teams at Stanford, UC Berkley, IITs, London Business School, Booth, Kyoto</li>
<li>Apps developed by us are featured by Apple and Microsoft</li>
<li>Our UX team members hold several US design patents in the HMI domain and have designed widgets to tune F1 Cars</li>
<li>We have worked with one of world's leading automobile manufacturer</li>
<li>Mobile, Cloud and BLE Solutions developed by us are being used by the Most advanced sports arena in the world. Mobile integrations are done by few NFL and NBA teams</li>
<li>One of our clients is listed as 50 most influential person in the USA. Another guy is listed in the top 100 IT professionals list</li>
<li>We work on latest Technologies and the list goes on...</li>
</ul>","<ul>
<li>Proficient understanding of web markup,&nbsp;including HTML5, CSS3, client-side scripting and JavaScript frameworks, including jQuery</li>
<li>Good understanding of server-side CSS,&nbsp;pre-processing platforms, such as LESS and SASS&nbsp;</li>
<li>Good understanding of asynchronous request&nbsp;handling, partial page updates, and AJAX&nbsp;</li>
<li>Basic knowledge of image authoring tools, to&nbsp;be able to crop, resize, or perform small adjustments on an image</li>
<li>Good understanding of cross-browser&nbsp;compatibility issues and ways to work around them</li>
<li>Full understanding of SEO</li>
<li>Proven ability to design the ultimate in user experience for the web, with at least 5 years of experience with all elements of website creation</li>
<li>Strong programming skills with focus on HTML5, CSS3, and JavaScript</li>
<li>Understanding of&nbsp;Angular4, KnockoutJS, BackboneJS, ReactJS, DurandalJS,&nbsp;vue.js,&nbsp;D3.js</li>
<li>Excellent communication skills and the ability to interact effectively with internal teams</li>
<li>Experience with Photoshop, Illustrator, or other graphics editors</li>
<li>Experience with backend technologies (Java, SQL, Hibernate, Spring Framework&hellip;) a strong plus</li>
<li>BS, BA, or equivalent</li>
</ul>",11/6/2017 9:24,12/11/2017 2:52,11/6/2017 9:27,1,12/10/2017 2:52,Codecraft Technologies,36,72,NULL,1000000,-1,NULL,UI Development$$$Web Development,Mangalore$$$Bengaluru
227,Senior Web Developer,"<p>We are hiring for a Lead full-stack web developer, who can manage and design the complete web architecture. You will be working on the full-stack of web development technologies on both the mobile and desktop and should be able to deliver experience driven insights to improve the UI performance. You will also lead a team of Frontend and web developers and liaison with multiple stakeholders as the POC for the team.</p>","<ul>
<li>Founders of Marlin DRM chose us as their partner to develop their mobile SDK</li>
<li>Largest Game publisher in India hired us to develop their social game mobile SDK</li>
<li>We work with teams at Stanford, UC Berkley, IITs, London Business School, Booth, Kyoto</li>
<li>Apps developed by us are featured by Apple and Microsoft</li>
<li>Our UX team members hold several US design patents in the HMI domain and have designed widgets to tune F1 Cars</li>
<li>We have worked with one of world's leading automobile manufacturer</li>
<li>Mobile, Cloud and BLE Solutions developed by us are being used by the Most advanced sports arena in the world. Mobile integrations are done by few NFL and NBA teams</li>
<li>One of our clients is listed as 50 most influential person in the USA. Another guy is listed in the top 100 IT professionals list</li>
<li>We work on latest Technologies and the list goes on...</li>
</ul>","<ul>
<li>Experienced in Backend programming languages with development experience for both mobile and desktop platforms</li>
<li>Experience working alongside with graphic designers and converting designs to visual elements. Someone who pays extremely close attention to UI details</li>
<li>Knowledge of code versioning tools</li>
<li>Experience working on Server deployment along with the experience of Framework and application design patterns</li>
<li>Experience Multi-threading/Concurrency and low latency programming</li>
<li>Can design overall Architecture of the&nbsp;web&nbsp;application</li>
<li>Team leading (Taking ownership) experience is preferred and willingness to learn/be flexible in different technologies across platforms</li>
<li>Should be comfortable learning new technologies and languages as and when required</li>
<li>Proficiency&nbsp;in at least 3 of the following frameworks and languages [Java, C++ .NET, JavaScript,vue.js,&nbsp;D3.js&nbsp;AngularJS, SFDC, NATS, Kafka, Angular 2 or 4, Node.js, Cloud Services( AWS, Azure, Google Cloud), SQL, NoSQL&nbsp;]</li>
</ul>",11/6/2017 9:29,11/16/2017 6:38,11/6/2017 9:30,1,11/15/2017 6:38,Codecraft Technologies,48,96,NULL,1600000,-1,NULL,Web Development$$$UI Development,Bengaluru$$$Mangalore
228,Senior UX Designer,"<p><strong>Sr.</strong> <strong>UX</strong> <strong>Designer</strong></p> <p>At HERE, you will own and account for the user experience of our internal tools.</p><p>You will be design lead in small and dedicated UX design team to develop, evolve and extend the experience on an ongoing basis for usable, useful and beautiful tools to use.</p><p>&nbsp;</p><p>You will work in close collaboration with product owners, researchers and domain experts to define KPIs, customer journeys and features &amp; functionality.</p><p>&nbsp;</p><p>On the team you will operate with visual designers, editors, front-end engineers and product owners to conceptualize, create and maintain innovative, easy-to-use and delightful UI solutions, cross-channel integration and supporting release materials.</p><p>And you will work closely with back-end engineers and QA to ensure seamless and continuous development and deployment.</p><p>Last not least, you will represent the product experience and design to HERE stakeholders and external partners &ndash; and you&rsquo;ll be an advocate for design vision and quality in the internal tools team, the overall HERE brand and beyond.</p><p><br /> <br /> </p><p><strong>What we are looking for is soup-to-nuts and full-stack UX ownership!</strong></p><p>Be passionate about your work and be able to communicate complex topics in a simple way, whether on paper, face to face or when designing UI.</p><p>Be able to effectively manage tasks of varying complexities, meet deadlines and work well under pressure.</p><p>Demonstrate you are proactive in sharing your expertise and be happy to engage with others, to inspire and to mentor.</p><p>&nbsp;</p>",,"<p><strong>You are a UX and UI designer at heart and by conviction. You believe that less is more, but you know tha the detail makes the product. You understand the business needs for design as well as the complexities of deployment. As such, you are striving to conceive, create and implement first-in-class User Experience in products and services..&nbsp;&nbsp; </strong></p><ul><li>Exceptional portfolio, with focus on user experience for several types of media and platforms such as web, mobile OSs, desktop applications and speech/chatbot interfaces.</li><li>Strong technical knowledge of how web-based technologies apply to design.</li><li>Expert knowledge of usability principles and techniques. Fluency in best practices for visual design.</li><li>Proficiency in all standard design and prototyping tools. Front-end programming knowledge is welcome.</li><li>You should be able to handle complexity. Experience in working with research experts, techniques and formats is expected. Experience with data analytics and business intelligence is a plus.</li><li>Experience working in a collaborative team and working directly with internal and external stakeholders, customers and developers.</li><li>Excellent verbal &amp; written communication skills.</li><li>Experience in Agile development environments.</li><li>Degree in design, human-computer interaction (HCI), or equivalent professional experience</li><li>At least 6 years of experience as a UX designer, creative director, or similar role.</li></ul><p>&nbsp;</p><p>&nbsp;</p>",11/6/2017 12:11,11/7/2017 5:28,11/6/2017 13:18,1,11/21/2017 13:18,Here Solutions,60,108,NULL,2000000,5,NULL,UX Design$$$UX Research,Mumbai
229,Ux Designer,"<p>We are looking for a talented UI Designer to create amazing user experiences.&nbsp; The ideal candidate should have an eye for clean and artful design, possess superior UI skills and be able to translate high-level requirements into interaction flows and artifacts, and transform them into beautiful, intuitive, and functional user interfaces.</p>","<p>KiwiTech is a vibrant, expanding community of design and development experts, and we're always looking for new talent! We offer challenging opportunities and a dynamic and enriching work culture.</p>","<ul>
<li>Proven UI experience</li>
<li>Demonstrable UI design skills with a strong portfolio</li>
<li>Solid experience in creating wireframes, storyboards, user flows, process flows and site maps</li>
<li>Proficiency in Sketch, Photoshop, Illustrator or other visual design and wire-framing tools</li>
<li>Proficiency in&nbsp;Invision for prototyping.</li>
<li>Excellent visual design skills with sensitivity to user-system interaction</li>
<li>Ability to present your designs and sell your solutions to various stakeholders.</li>
<li>Ability to solve problems creatively and effectively</li>
<li>Up-to-date with the latest UI trends, techniques, and technologies</li>
<li>BS/MS in Human-Computer Interaction, Interaction Design, or related</li>
<li>Experience working in an Agile/Scrum development process</li>
</ul>",11/6/2017 12:12,11/8/2017 7:34,11/6/2017 13:40,1,11/21/2017 13:40,KiwiTech,24,60,NULL,NULL,5,NULL,UX Design$$$UI Design$$$UX Research,Noida
230,senior graphic designer,NULL,NULL,NULL,11/7/2017 8:31,11/7/2017 8:50,NULL,-3,NULL,globarena technologies pvt ltd,72,84,NULL,240000,5,NULL,Graphic Design,Hyderabad$$$Bengaluru$$$Chennai
231,Android developer,<p>responisble of development of Android application</p>,<p>NA</p>,<p>Should have good experience in developing complex application</p>,11/7/2017 9:17,11/21/2017 8:38,NULL,-4,NULL,Boom Boom Hunt,48,84,NULL,700000,6,NULL,Accessory Design,Pune
232,UI/ UX Designer,"<p>1. Strong Experience working with design tools: Our design teams work with Photoshop and Illustrator.</p><p>2. Having willingness and ability to learn new technologies.</p><p>3. Strong knowledge of user experience fundamentals exhibiting user guiding designs with striking visuals.</p><p>4. Willingness to step outside of your comfort zone on a regular basis.</p><p>5. We need a self-starter who can take a bit of directional input and then take off.</p><p>6. Create and deliver UI design documentation/ style guides to aid with client presentations, cross-team communication, collaboration and development.</p>",<p>Good &amp; friendly Work culture.</p><p>Free evening snacks.</p><p>&nbsp;</p>,"<p>Preffered Education Qualification :BFA/MFA/ GD Arts Diploma / BVA /</p><p>Good to have: HFI-CUA/CXA</p><p>Relevant Experience: 5 - 8 Years</p><p>We are looking for pure UI/UX/VD Designers with good experience in Photoshop, Illustration, Indesign.</p><p>Good working experience on Android,IOS, Mobile.</p><p>Notice period: Should&nbsp;be availabe to join max within 30-60 days.</p><p>We need a self-starter who can take a bit of directional input and then take off.</p>",11/7/2017 10:39,11/21/2017 5:46,11/8/2017 10:27,1,12/8/2017 10:27,Excellon Software,60,108,NULL,1400000,5,NULL,Mobile Design$$$UI Design$$$UX Design$$$UX Research$$$Visual Design$$$Interaction Design$$$Storyboarding$$$Product Design,Pune
233,NULL,NULL,NULL,NULL,11/8/2017 4:12,11/8/2017 4:12,NULL,-2,NULL,globarena technologies pvt ltd,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Chennai$$$Bengaluru$$$Hyderabad
234,Graphic Designer,"<div>* Creation and layout of marketing materials for specific projects using the CS applications</div><div>(Illustrator, Photoshop, and InDesign required)</div><div>* Creation of artwork to be used as a component piece in larger projects</div><div>(Illustrator and Photoshop required)</div><div>&nbsp;</div>",,"<p>An ideal candidate should be skilled in conceptualization, respect timelines and have good software skills.</p>
<p>&nbsp;</p>
<p>Softwares to know: Adobe Illustrator, Adobe Photoshop, Adobe InDesign etc.</p>
<p>&nbsp;</p>
<p>Have Bachelors degree in design</p>
<p>&nbsp;</p>
<p>You will be working within a small team where your role will be to create high value reports for big corporates, documents, presentations, and marketing collaterals, within the brand guidelines. Our team use the Microsoft Office suite and most of the Adobe Creative Cloud suite.</p>
<p>&nbsp;</p>",11/8/2017 8:07,12/26/2017 6:41,11/8/2017 11:03,1,11/23/2017 11:03,Kormoan,12,36,NULL,400000,5,NULL,Graphic Design$$$UI Design$$$Branding$$$Web Design$$$Illustration,Delhi
235,Senior UI Designer,"<p>&nbsp;</p>
<p>we are looking for creative mind with strong interest and taste of designing, one who understands and builds interactive designs adding value to overall user experience. The ideal candidate will work in environment that requires strong problem solving skills and producing stunning user centric web/mobile interfaces.</p>
<p>&nbsp;</p>","<p>KiwiTech is a vibrant, expanding community of design and development experts, and we're always looking for new talent! We offer challenging opportunities and a dynamic and enriching work culture.</p>","<p><span class=""m_7979731645428392217gmail-m_-6447057505162790196gmail-m_5076069334097504899gmail-m_8460031969997704741gmail-m_5651241109596312273gmail-m_-6235543016579605473gmail-m_-3867503085565720220gmail-m_-5503188124253358523gmail-m_8194733060858252837gmail-m_4652160677513630574gmail-il"">User</span>&nbsp;<span class=""m_7979731645428392217gmail-m_-6447057505162790196gmail-m_5076069334097504899gmail-m_8460031969997704741gmail-m_5651241109596312273gmail-m_-6235543016579605473gmail-m_-3867503085565720220gmail-m_-5503188124253358523gmail-m_8194733060858252837gmail-m_4652160677513630574gmail-il"">Interface</span>&nbsp;Design</p>
<p>&nbsp;</p>
<p><span style=""font-family: verdana, sans-serif;""><span lang=""EN-IN"">1)&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</span><span lang=""EN-IN"">Front End&nbsp;<span class=""m_7979731645428392217gmail-m_-6447057505162790196gmail-m_5076069334097504899gmail-m_8460031969997704741gmail-m_5651241109596312273gmail-m_-6235543016579605473gmail-m_-3867503085565720220gmail-m_-5503188124253358523gmail-m_8194733060858252837gmail-m_4652160677513630574gmail-il"">User</span>&nbsp;<span class=""m_7979731645428392217gmail-m_-6447057505162790196gmail-m_5076069334097504899gmail-m_8460031969997704741gmail-m_5651241109596312273gmail-m_-6235543016579605473gmail-m_-3867503085565720220gmail-m_-5503188124253358523gmail-m_8194733060858252837gmail-m_4652160677513630574gmail-il"">Interface</span>&nbsp;Design</span></span></p>
<p><span style=""font-family: verdana, sans-serif;""><span lang=""EN-IN"">2)&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</span><span lang=""EN-IN""><span class=""m_7979731645428392217gmail-m_-6447057505162790196gmail-m_5076069334097504899gmail-m_8460031969997704741gmail-m_5651241109596312273gmail-m_-6235543016579605473gmail-m_-3867503085565720220gmail-m_-5503188124253358523gmail-m_8194733060858252837gmail-m_4652160677513630574gmail-il"">User</span>&nbsp;requirement specs</span></span></p>
<p><span style=""font-family: verdana, sans-serif;""><span lang=""EN-IN"">3)&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</span><span lang=""EN-IN"">Conceptual wire frames</span></span></p>
<p><span style=""font-family: verdana, sans-serif;""><span lang=""EN-IN"">4)&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</span><span lang=""EN-IN"">Detailed screen layouts</span></span></p>
<p><span style=""font-family: verdana, sans-serif;""><span lang=""EN-IN"">5)&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</span><span lang=""EN-IN""><span class=""m_7979731645428392217gmail-m_-6447057505162790196gmail-m_5076069334097504899gmail-m_8460031969997704741gmail-m_5651241109596312273gmail-m_-6235543016579605473gmail-m_-3867503085565720220gmail-m_-5503188124253358523gmail-m_8194733060858252837gmail-m_4652160677513630574gmail-il""><span class=""il"">UI</span></span>&nbsp;specifications</span></span></p>
<p><span style=""font-family: verdana, sans-serif;""><span lang=""EN-IN"">6)&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</span><span lang=""EN-IN"">Interaction design</span></span></p>
<p><span style=""font-family: verdana, sans-serif;""><span lang=""EN-IN"">7)&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</span><span lang=""EN-IN"">Iconography, dialog boxes and global look-and-feel</span></span></p>
<p><span style=""font-family: verdana, sans-serif;""><span lang=""EN-IN"">8)&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</span><span lang=""EN-IN"">Creation of style guides</span></span></p>
<p><span style=""font-family: verdana, sans-serif;""><span lang=""EN-IN"">9)&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</span><span lang=""EN-IN"">Web site functionality testing</span></span></p>
<p><span style=""font-family: verdana, sans-serif;""><span lang=""EN-IN"">10)&nbsp;&nbsp;</span><span lang=""EN-IN"">Page design consistency</span></span></p>
<p><span style=""font-family: verdana, sans-serif;""><span lang=""EN-IN"">11)&nbsp;&nbsp;</span><span lang=""EN-IN"">Conceptual models</span></span></p>
<p><span style=""font-family: verdana, sans-serif;""><span lang=""EN-IN"">12)&nbsp;&nbsp;</span><span lang=""EN-IN"">Process flows</span></span></p>
<p><span style=""font-family: verdana, sans-serif;""><span lang=""EN-IN"">13)&nbsp;&nbsp;</span><span lang=""EN-IN"">Analyze client feedback on usability&nbsp;</span></span>Softwares.</p>
<p><span lang=""EN-IN""><span style=""font-family: verdana, sans-serif;"">&nbsp;&nbsp;<strong>Must</strong></span></span></p>
<p><span style=""font-family: verdana, sans-serif;""><span lang=""EN-IN"">1)&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</span><span lang=""EN-IN"">Adobe Photoshop</span></span></p>
<p><span style=""font-family: verdana, sans-serif;""><span lang=""EN-IN"">2)&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</span><span lang=""EN-IN"">Adobe Illustrator</span></span></p>
<p><span lang=""EN-IN""><span style=""font-family: verdana, sans-serif;"">&nbsp;<strong>PlusPoint</strong></span></span></p>
<p><span style=""font-family: verdana, sans-serif;""><span lang=""EN-IN"">1)&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</span><span lang=""EN-IN"">Adobe Flash,Premiere,</span></span></p>
<p><span style=""font-family: verdana, sans-serif;""><span lang=""EN-IN"">2)&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</span><span lang=""EN-IN"">Aftereffects</span></span></p>",11/8/2017 8:10,11/9/2017 9:54,11/9/2017 9:54,1,11/24/2017 9:54,KiwiTech,24,72,NULL,800000,5,NULL,Mobile Design$$$Graphic Design$$$Interaction Design$$$UI Design$$$Illustration$$$UX Design$$$Web Design$$$Visual Design,Noida
236,Lead UX Designer,"<ul>
<li>Plan, prioritize, coordinate, and conduct user requirements analysis, task analysis, conceptual modeling, information architecture design, interaction design, and UI review</li>
<li>Design and specify user interfaces and information architecture using participatory and iterative design techniques, including observational studies, customer interviews, usability testing, and other forms of requirements discovery.</li>
<li>Produce user requirements specifications, personas, storyboards, scenarios, flowcharts, design prototypes, and design specifications.</li>
<li>Effectively communicate research findings, conceptual ideas, detailed design, and design rationale both verbally and visually.</li>
<li>Manage the design process, drive decisions, track issues, and assist in estimating resource needs and schedules.</li>
<li>Work closely with development teams to ensure that design specifications are implemented.</li>
<li>Participate as a contributor to an interdisciplinary team that includes other designers, project management, business and software developers.</li>
</ul>",,<p>Thinker + Doer</p>,11/8/2017 9:07,11/8/2017 11:52,11/8/2017 11:52,1,11/23/2017 11:52,F1studioz,48,108,NULL,1500000,5,NULL,UI Design$$$Information Architecture$$$Interaction Design$$$Mobile Design$$$Web Design$$$UX Design,Bengaluru$$$Hyderabad
237,Senior Information Designer,"<p>We are looking for people who can help bridge the chasm between data analysis and decision making by helping design simple, intuitive and interactive applications.</p>
<ul>
<li>Responsible to participate in the design process of every feature assigned, from brainstorming to prototyping to reviews and polish. Iterate on design prototypes to help refine the user experience and ensure a consistent user experience by standardizing UI components</li>
<li>Will be working closely with Functional consultants to translate conceptual ideas into engaging design solutions, and with the Engineering team to create wireframe workflows and mockups</li>
<li>Will contribute to and manage a repository of re-usable data visualization templates, views and other best practices components</li>
<li>Is a dynamic and self-starting individual able to work both independently and as part of a team</li>
<li>Excellent time-management, multi-tasking, and communication skills. Capable of juggling multiple projects and related complexities at the same time</li>
</ul>",,"<ul>
<li>Solid understanding of graphic design, UI/UX and experience in the overall Design Process. Should be an expert in using design tools such as Adobe Illustrator, Inkscape or Corel Draw</li>
<li>Knowledge of designing dashboard wireframes using design tools and presentation tools such as PowerPoint</li>
<li>Good eye for aesthetics: layout, grid systems, color theory and typography</li>
<li>Understanding of the limitations of web and mobile, with approaches/ideas to flex those boundaries. Understanding of responsive design and development for desktop, tablet and mobile</li>
<li>Must absolutely be in sync with recent design standards and trends</li>
<li>Build UI patterns for the dashboards, including motion studies and animation. Deliver final front-end code for smaller initiatives, and partner with others on the Engineering team on larger initiatives</li>
<li>Drive technology decisions around how we build better UIs faster</li>
<li>Experience in data analysis or consulting will be a plus</li>
<li>An engineering graduate with a minimum of 2-3 years of formal industry/professional experience as a web/mobile designer</li>
</ul>",11/8/2017 9:56,1/5/2018 11:32,11/8/2017 9:57,1,NULL,Gramener,48,72,NULL,1600000,5,NULL,Data Visualization$$$Graphic Design$$$Web Design,Delhi
238,Senior Graphic Designer,"<p>We are looking for an unbelievably talented and motivated Senior Graphic Designer to join forces with our Creative Team in Mumbai, India. The role demands principled visual thinking, bold innovation, stellar sense of design, good leadership and coordination skills, a stubborn refusal to settle and an almost superhuman ability to bring alive Hopscotch&rsquo;s vision of delivering the best of kid&rsquo;s merchandise to the Indian mom through stunning digital concepts.</p>
<ul>
<li>Attending meetings and briefings with the Business Development teams and Marketing Managers to understand business requirements</li>
<li>Converting these briefs into effective design solutions that marry marketing and merchandising strategies from conceptualisation to completion</li>
<li>Supervising intermediate and junior graphic designers in creating concepts, layouts, banners and final art within the stipulated time</li>
<li>Working with the Creative Head to constantly innovate and up the standards of Hopscotch&rsquo;s visual language and branding guidelines</li>
<li>Monitoring and measuring visits to the boutiques and special pages to increase click-through rates</li>
<li>Maintaining high standards and ensuring only the best work is released to the client</li>
<li>Staying up-to-date with industry trends</li>
</ul>",,"<ul>
<li>Under-graduate or Master Degree in Design/Communication</li>
<li>3+ years of work experience in established advertising agencies or branding design houses</li>
<li>A never-ending desire to grow and learn</li>
<li>Complete understanding of graphic design, typography and digital standards</li>
<li>Strong written and verbal communication skills</li>
<li>In-depth design capabilities</li>
<li>Confidence to delegate tasks</li>
<li>The ability to keep a cool head and meet deadlines</li>
<li>Problem solving skills</li>
<li>The ability to think creatively and deliver clever concepts</li>
<li>The foresight to put themselves in the shoes of the user</li>
<li>Meticulous attention to detail</li>
<li>Significant graphic design experience</li>
<li>A high bar of quality across the board - from your own contributions to the people you work with to the creative concepts that get delivered</li>
<li>A &ldquo;driver&rdquo; personality - action-oriented, great collaborator and master simplifier - constantly pushing towards clarity and delivery</li>
</ul>",11/8/2017 10:07,1/8/2018 11:27,11/8/2017 10:09,1,NULL,Hopscotch,36,72,NULL,1200000,5,NULL,Graphic Design$$$Branding$$$Illustration,Mumbai
239,Associate Creative Director,"<p>We are looking for an unbelievably talented and motivated Associate Creative Head to join forces with our Creative Team in Mumbai, India. The role demands good leadership and coordination skills, principled visual thinking, bold innovation, stellar sense of design, a stubborn refusal to settle and an almost superhuman ability to bring alive Hopscotch&rsquo;s vision of delivering the best of kid&rsquo;s merchandise to the Indian mom through stunning digital concepts.</p>
<ul>
<li>Working directly with the Creative Head to constantly innovate and up the standards of Hopscotch&rsquo;s visual language and branding guidelines  </li>
<li>Attending meetings and briefings with the Business Development teams and Marketing Managers to understand business requirements  </li>
<li>Converting these briefs into effective design solutions that marry marketing and merchandising strategies from conceptualisation to completion  </li>
<li>Supervising senior and junior graphic designers in creating concepts, layouts, banners and final art within the stipulated time  </li>
<li>Conceptualising, planning and directing look book shoots  </li>
<li>Monitoring and measuring visits to the boutiques and special pages to increase click-through rates</li>
<li>Maintaining high standards and ensuring only the best work is put up on the site  </li>
<li>Staying up-to-date with industry trends  </li>
</ul>",,"<ul>
<li>Under-graduate or Master&rsquo;s Degree in Design/Communication  </li>
<li>6+ years of work experience in established advertising agencies or branding design houses</li>
<li>A never-ending desire to grow and learn</li>
<li>Complete understanding of graphic design, typography and the digital world  </li>
<li>Strong written and verbal communication skills  </li>
<li>In-depth design capabilities</li>
<li>Confidence to delegate tasks</li>
<li>The ability to keep a cool head and meet deadlines</li>
<li>Problem solving skills</li>
<li>The ability to think creatively and deliver clever concepts</li>
<li>The foresight to put themselves in the shoes of the user</li>
<li>Meticulous attention to detail</li>
<li>Significant graphic design experience</li>
<li>A high bar of quality across the board - from your own contributions to the people you work with to the creative concepts that get delivered</li>
<li>A &ldquo;driver&rdquo; personality - action-oriented, great collaborator and master simplifier - constantly pushing towards clarity and delivery</li>
</ul>",11/8/2017 10:11,1/8/2018 11:27,11/8/2017 10:13,1,NULL,Hopscotch,84,120,NULL,2000000,5,NULL,Creative Direction$$$Art Direction$$$Graphic Design$$$Branding,Mumbai
